"entity_id","type","value","id"
"130","sports","Sports Not Offered",""
"203","sports_club_coed","Cheer/Drill",""
"203","sports_club_coed","Flag Football",""
"079","sports_club_boys","Baseball",""
"079","sports_club_girls","Cheer/Drill",""
"079","sports_uil_girls","Cheer/Drill",""
"079","sports_club_boys","Cross Country",""
"079","sports_uil_boys","Cross Country",""
"079","sports_club_girls","Cross Country",""
"079","sports_uil_girls","Cross Country",""
"079","sports_club_boys","Football",""
"079","sports_uil_boys","Football",""
"079","sports_club_boys","Cheer/Drill",""
"079","sports_uil_boys","Cheer/Drill",""
"079","sports_club_girls","Cheer/Drill",""
"079","sports_uil_girls","Cheer/Drill",""
"079","sports_club_boys","Track/Field",""
"079","sports_uil_boys","Track/Field",""
"079","sports_club_girls","Track/Field",""
"079","sports_uil_girls","Track/Field",""
"079","sports_club_boys","Volleyball",""
"079","sports_uil_boys","Volleyball",""
"079","sports_club_girls","Volleyball",""
"079","sports_uil_girls","Volleyball",""
"295","sports","Sports Not Offered",""
"372","sports_club_coed","Cheer/Drill",""
"152","sports","Sports Not Offered",""
"056","sports_uil_girls","Cheer/Drill",""
"056","sports_uil_boys","Cross Country",""
"056","sports_uil_girls","Cross Country",""
"056","sports_uil_boys","Football",""
"056","sports_uil_boys","Cheer/Drill",""
"056","sports_uil_girls","Cheer/Drill",""
"056","sports_uil_boys","Track/Field",""
"056","sports_uil_girls","Track/Field",""
"056","sports_uil_girls","Volleyball",""
"056","sports_club_coed","Gymnastics",""
"056","sports_club_coed","Strength/Conditioning",""
"158","sports_club_girls","Cheer/Drill",""
"158","sports_club_coed","Cheer/Drill",""
"158","sports_club_coed","Cheer/Drill",""
"158","sports_club_coed","Track/Field",""
"215","sports_club_boys","Golf",""
"215","sports_club_girls","Golf",""
"215","sports_club_coed","Golf",""
"215","sports_club_boys","Cheer/Drill",""
"215","sports_club_girls","Cheer/Drill",""
"215","sports_club_coed","Cheer/Drill",""
"215","sports_club_boys","Volleyball",""
"215","sports_club_girls","Volleyball",""
"215","sports_club_coed","Volleyball",""
"215","sports_club_boys","Gymnastics",""
"215","sports_club_girls","Gymnastics",""
"215","sports_club_coed","Gymnastics",""
"215","sports_club_boys","Karate",""
"215","sports_club_girls","Karate",""
"215","sports_club_coed","Karate",""
"248","sports_club_boys","Cheer/Drill",""
"248","sports_club_girls","Cheer/Drill",""
"248","sports_club_coed","Cheer/Drill",""
"248","sports_club_coed","Running",""
"248","sports_club_coed","Yoga",""
"196","sports_club_girls","Cheer/Drill",""
"196","sports_club_coed","Cheer/Drill",""
"196","sports_club_coed","Volleyball",""
"196","sports_club_coed","Flag Football",""
"267","sports_club_girls","Cheer/Drill",""
"267","sports_club_boys","Cheer/Drill",""
"267","sports_club_coed","Cheer/Drill",""
"267","sports_club_boys","Flag Football",""
"267","sports_club_coed","Fun Fit",""
"267","sports_club_coed","Karate",""
"267","sports_club_coed","Yoga",""
"224","sports","Sports Not Offered",""
"045","sports_club_girls","Cheer/Drill",""
"045","sports_uil_boys","Cross Country",""
"045","sports_uil_girls","Cross Country",""
"045","sports_uil_boys","Football",""
"045","sports_club_boys","Cheer/Drill",""
"045","sports_uil_boys","Cheer/Drill",""
"045","sports_uil_girls","Cheer/Drill",""
"045","sports_uil_boys","Track/Field",""
"045","sports_uil_girls","Track/Field",""
"045","sports_uil_girls","Volleyball",""
"045","sports_club_boys","Flag Football",""
"006","sports_club_girls","Cheer/Drill",""
"006","sports_club_boys","Cheer/Drill",""
"006","sports_club_girls","Cheer/Drill",""
"006","sports_club_coed","Volleyball",""
"265","sports_club_coed","Cheer/Drill",""
"265","sports_club_coed","Cheer/Drill",""
"135","sports","Sports Not Offered",""
"225","sports_club_girls","Cheer/Drill",""
"225","sports_club_coed","Cheer/Drill",""
"225","sports_club_coed","Track/Field",""
"225","sports_club_girls","Volleyball",""
"225","sports_club_coed","Flag Football",""
"253","sports","Sports Not Offered",""
"475","sports_club_coed","Cheer/Drill",""
"382","sports_club_girls","Cheer/Drill",""
"382","sports_uil_girls","Volleyball",""
"382","sports_club_coed","Strength/Conditioning",""
"353","sports_club_boys","Cheer/Drill",""
"353","sports_club_girls","Cheer/Drill",""
"353","sports_club_coed","Karate",""
"075","sports_club_girls","Cheer/Drill",""
"075","sports_uil_boys","Cross Country",""
"075","sports_uil_girls","Cross Country",""
"075","sports_uil_boys","Football",""
"075","sports_uil_girls","Football",""
"075","sports_uil_boys","Cheer/Drill",""
"075","sports_uil_girls","Cheer/Drill",""
"075","sports_uil_boys","Track/Field",""
"075","sports_uil_girls","Track/Field",""
"075","sports_uil_girls","Volleyball",""
"456","sports_club_boys","Karate",""
"456","sports_club_girls","Karate",""
"456","sports_club_coed","Karate",""
"271","sports_club_coed","Cheer/Drill",""
"019","sports_uil_boys","Baseball",""
"019","sports_uil_boys","Cheer/Drill",""
"019","sports_uil_girls","Cheer/Drill",""
"019","sports_uil_boys","Cross Country",""
"019","sports_uil_girls","Cross Country",""
"019","sports_uil_boys","Football",""
"019","sports_uil_girls","Football",""
"019","sports_uil_boys","Golf",""
"019","sports_uil_girls","Golf",""
"019","sports_uil_boys","Cheer/Drill",""
"019","sports_uil_girls","Cheer/Drill",""
"019","sports_uil_girls","Softball",""
"019","sports_uil_boys","Track/Field",""
"019","sports_uil_girls","Track/Field",""
"219","sports_club_coed","Cheer/Drill",""
"219","sports_club_coed","Golf",""
"219","sports_club_coed","Cheer/Drill",""
"219","sports_club_coed","Track/Field",""
"219","sports_club_coed","Running",""
"219","sports_club_coed","Yoga",""
"116","sports_club_coed","Cheer/Drill",""
"396","sports_club_girls","Cheer/Drill",""
"396","sports_club_coed","Running",""
"072","sports_uil_girls","Cheer/Drill",""
"072","sports_uil_boys","Football",""
"072","sports_uil_boys","Cheer/Drill",""
"072","sports_uil_girls","Cheer/Drill",""
"072","sports_uil_boys","Track/Field",""
"072","sports_uil_girls","Track/Field",""
"072","sports_uil_girls","Volleyball",""
"072","sports_club_boys","Strength/Conditioning",""
"072","sports_club_girls","Strength/Conditioning",""
"104","sports","Sports Not Offered",""
"276","sports_club_boys","Baseball",""
"276","sports_club_coed","Cheer/Drill",""
"276","sports_club_boys","Football",""
"276","sports_club_boys","Cheer/Drill",""
"119","sports","Sports Not Offered",""
"024","sports_club_boys","Archery",""
"024","sports_club_girls","Archery",""
"024","sports_uil_boys","Baseball",""
"024","sports_uil_girls","Cheer/Drill",""
"024","sports_uil_boys","Cross Country",""
"024","sports_uil_girls","Cross Country",""
"024","sports_uil_boys","Football",""
"024","sports_uil_boys","Golf",""
"024","sports_uil_girls","Golf",""
"024","sports_uil_boys","Cheer/Drill",""
"024","sports_uil_girls","Cheer/Drill",""
"024","sports_uil_girls","Softball",""
"024","sports_uil_boys","Cheer/Drill",""
"024","sports_uil_girls","Cheer/Drill",""
"024","sports_uil_boys","Tennis",""
"024","sports_uil_girls","Tennis",""
"024","sports_uil_girls","Volleyball",""
"024","sports_club_boys","Archery",""
"024","sports_club_girls","Archery",""
"024","sports_club_girls","Flag Football",""
"024","sports_club_coed","Strength/Conditioning",""
"109","sports_club_coed","Cheer/Drill",""
"109","sports_club_girls","Cross Country",""
"109","sports_club_coed","Football",""
"109","sports_club_coed","Cheer/Drill",""
"109","sports_club_coed","Volleyball",""
"109","sports_club_girls","Running",""
"374","sports","Sports Not Offered",""
"217","sports_club_boys","Baseball",""
"217","sports_club_girls","Cheer/Drill",""
"217","sports_club_boys","Football",""
"217","sports_club_boys","Cheer/Drill",""
"217","sports_club_girls","Cheer/Drill",""
"217","sports_club_boys","Softball",""
"217","sports_club_boys","Track/Field",""
"217","sports_club_girls","Track/Field",""
"217","sports_club_girls","Volleyball",""
"217","sports_club_boys","Flag Football",""
"275","sports","Sports Not Offered",""
"262","sports_club_boys","Cheer/Drill",""
"262","sports_club_girls","Cheer/Drill",""
"262","sports_club_boys","Football",""
"262","sports_club_boys","Cheer/Drill",""
"262","sports_club_girls","Cheer/Drill",""
"262","sports_club_boys","Track/Field",""
"262","sports_club_girls","Track/Field",""
"262","sports_club_boys","Volleyball",""
"262","sports_club_girls","Volleyball",""
"262","sports_club_boys","Flag Football",""
"345","sports_club_girls","Cheer/Drill",""
"345","sports_club_boys","Cheer/Drill",""
"345","sports_club_girls","Cheer/Drill",""
"345","sports_club_boys","Volleyball",""
"345","sports_club_girls","Volleyball",""
"352","sports_club_coed","Cheer/Drill",""
"352","sports_club_coed","Cheer/Drill",""
"255","sports","Sports Not Offered",""
"170","sports_club_coed","Cheer/Drill",""
"344","sports_club_boys","Baseball",""
"344","sports_club_boys","Cheer/Drill",""
"133","sports_club_coed","Cheer/Drill",""
"133","sports_club_coed","Cheer/Drill",""
"108","sports_club_girls","Cheer/Drill",""
"298","sports","Sports Not Offered",""
"127","sports","Sports Not Offered",""
"159","sports_club_boys","Cheer/Drill",""
"159","sports_club_girls","Cheer/Drill",""
"159","sports_club_coed","Cheer/Drill",""
"025","sports","Sports Not Offered",""
"154","sports_club_girls","Cheer/Drill",""
"354","sports","Sports Not Offered",""
"157","sports","Sports Not Offered",""
"082","sports_uil_girls","Cheer/Drill",""
"082","sports_uil_boys","Football",""
"082","sports_uil_boys","Cheer/Drill",""
"082","sports_uil_girls","Cheer/Drill",""
"082","sports_uil_boys","Track/Field",""
"082","sports_uil_girls","Track/Field",""
"082","sports_uil_girls","Volleyball",""
"182","sports_club_coed","Cheer/Drill",""
"340","sports_club_boys","Cheer/Drill",""
"340","sports_club_girls","Cheer/Drill",""
"340","sports_uil_boys","Cheer/Drill",""
"340","sports_uil_girls","Cheer/Drill",""
"340","sports_uil_boys","Volleyball",""
"340","sports_uil_girls","Volleyball",""
"241","sports_club_coed","Cheer/Drill",""
"241","sports_club_coed","Running",""
"153","sports_club_boys","Baseball",""
"153","sports_club_girls","Cheer/Drill",""
"153","sports_club_boys","Cheer/Drill",""
"153","sports_club_girls","Cheer/Drill",""
"153","sports_club_coed","Disc Golf",""
"308","sports_club_coed","Archery",""
"308","sports_club_girls","Cheer/Drill",""
"308","sports_club_boys","Cheer/Drill",""
"308","sports_club_girls","Cheer/Drill",""
"308","sports_club_boys","Volleyball",""
"308","sports_club_girls","Volleyball",""
"308","sports_club_coed","Archery",""
"077","sports_club_boys","Cheer/Drill",""
"077","sports_uil_boys","Cheer/Drill",""
"077","sports_club_girls","Cheer/Drill",""
"077","sports_uil_girls","Cheer/Drill",""
"077","sports_club_coed","Cheer/Drill",""
"077","sports_uil_coed","Cheer/Drill",""
"077","sports_club_boys","Cross Country",""
"077","sports_uil_boys","Cross Country",""
"077","sports_club_girls","Cross Country",""
"077","sports_uil_girls","Cross Country",""
"077","sports_club_coed","Cross Country",""
"077","sports_uil_coed","Cross Country",""
"077","sports_club_boys","Football",""
"077","sports_uil_boys","Football",""
"077","sports_uil_boys","Cheer/Drill",""
"077","sports_club_boys","Track/Field",""
"077","sports_uil_boys","Track/Field",""
"077","sports_club_girls","Track/Field",""
"077","sports_uil_girls","Track/Field",""
"077","sports_uil_girls","Volleyball",""
"077","sports_club_boys","Strength/Conditioning",""
"114","sports","Sports Not Offered",""
"257","sports_club_girls","Cheer/Drill",""
"257","sports_club_boys","Flag Football",""
"257","sports_club_coed","Running",""
"257","sports_club_coed","Yoga",""
"179","sports_club_coed","Cheer/Drill",""
"179","sports_club_coed","Track/Field",""
"179","sports_club_coed","Volleyball",""
"264","sports_club_coed","Cheer/Drill",""
"264","sports_club_coed","Cross Country",""
"264","sports_club_boys","Football",""
"264","sports_club_coed","Cheer/Drill",""
"264","sports_club_coed","Track/Field",""
"264","sports_club_girls","Volleyball",""
"264","sports_club_coed","Running",""
"394","sports","Sports Not Offered",""
"260","sports_club_girls","Cheer/Drill",""
"115","sports","Sports Not Offered",""
"210","sports","Sports Not Offered",""
"213","sports_club_girls","Cheer/Drill",""
"199","sports","Sports Not Offered",""
"172","sports_club_boys","Cheer/Drill",""
"172","sports_club_girls","Cheer/Drill",""
"252","sports","Sports Not Offered",""
"018","sports_uil_boys","Baseball",""
"018","sports_uil_coed","Cheer/Drill",""
"018","sports_uil_boys","Cross Country",""
"018","sports_uil_girls","Cross Country",""
"018","sports_uil_boys","Football",""
"018","sports_uil_boys","Cheer/Drill",""
"018","sports_uil_girls","Cheer/Drill",""
"018","sports_uil_girls","Softball",""
"018","sports_uil_boys","Track/Field",""
"018","sports_uil_girls","Track/Field",""
"018","sports_uil_girls","Volleyball",""
"018","sports_uil_boys","Wrestling",""
"018","sports_uil_girls","Wrestling",""
"018","sports_club_girls","Flag Football",""
"268","sports_club_girls","Cheer/Drill",""
"268","sports_club_boys","Cheer/Drill",""
"268","sports_club_girls","Cheer/Drill",""
"231","sports_club_girls","Cheer/Drill",""
"231","sports_club_coed","Cheer/Drill",""
"383","sports_club_coed","Cheer/Drill",""
"383","sports_club_coed","Running",""
"098","sports_club_boys","Baseball",""
"098","sports_uil_coed","Cheer/Drill",""
"098","sports_uil_boys","Cross Country",""
"098","sports_uil_girls","Cross Country",""
"098","sports_uil_boys","Football",""
"098","sports_uil_boys","Cheer/Drill",""
"098","sports_uil_girls","Cheer/Drill",""
"098","sports_club_girls","Softball",""
"098","sports_uil_coed","Swimming/Diving",""
